,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,butembo,0.15,29.2833,287.23,95,100,0.91,CD,1697679226
83,barrouallie,13.2333,-61.2667,300.14,78,91,3.67,VC,1697679706
84,puerto colombia,10.9878,-74.9547,303.2,76,18,7.13,CO,1697679707
85,lebu,-37.6167,-73.65,282.88,89,6,1.28,CL,1697679219
86,pokhvistnevo,53.6524,52.1274,280.5,58,93,5.37,RU,1697679707
87,udachny,66.4167,112.4,262.29,85,100,2.06,RU,1697679176
88,masterton,-40.9597,175.6575,290.31,36,9,1.98,NZ,1697679707
89,polyarnyy,69.1989,33.4478,274.79,63,100,8.63,RU,1697679221
90,utrik,11.2278,169.8474,301.47,71,86,7.88,MH,1697679170
91,cadale,2.7603,46.3222,300.05,84,100,3.42,SO,1697679707
92,edinburgh of the seven seas,-37.0676,-12.3116,286.97,93,76,9.18,SH,1697679170
93,lerwick,60.1545,-1.1494,283.15,80,15,13.96,GB,1697679247
94,aykhal,66.0,111.5,262.08,93,100,2.24,RU,1697679189
95,altai,46.3722,96.2583,275.5,50,0,0.5,MN,1697679708
96,titahari,26.6667,87.2833,296.41,67,0,1.4,NP,1697679702
97,mammoth lakes,37.6485,-118.9721,286.55,31,0,1.54,US,1697679708
98,de aar,-30.6497,24.0123,289.02,57,0,5.72,ZA,1697679708
99,glace bay,46.1969,-59.957,282.03,86,75,3.09,CA,1697679708
100,kayes,14.0,-11.0,302.36,47,98,1.72,ML,1697679709
101,bilibino,68.0546,166.4372,255.35,96,76,1.02,RU,1697679171
102,ebetsu,43.1081,141.5506,290.44,81,75,6.17,JP,1697679709
103,puerto ayora,-0.7393,-90.3518,297.34,95,73,3.13,EC,1697679176
104,christchurch,-43.5333,172.6333,294.56,65,31,5.66,NZ,1697679709
105,atafu village,-8.5421,-172.5159,301.91,72,26,3.51,TK,1697679163
106,arkalyk,50.2486,66.9114,276.76,67,81,2.27,KZ,1697679709
107,kapuskasing,49.4169,-82.4331,282.2,81,100,2.06,CA,1697679180
108,balqash,46.8481,74.995,278.48,93,100,3.0,KZ,1697679710
109,indianola,41.3581,-93.5574,289.04,68,100,1.34,US,1697679710
110,remire-montjoly,4.9167,-52.2667,297.17,100,0,0.0,GF,1697679541
111,kailua-kona,19.6406,-155.9956,302.13,79,20,4.63,US,1697679214
112,crane,31.3974,-102.3501,296.75,29,0,6.65,US,1697679223
113,shingu,33.7333,135.9833,296.47,62,80,2.39,JP,1697679220
114,katsuura,35.1333,140.3,296.51,62,73,8.37,JP,1697679710
115,khandyga,62.6667,135.6,271.48,91,100,2.26,RU,1697679199
116,kassala,15.451,36.4,301.42,61,92,1.63,SD,1697679711
117,saint-philippe,-21.3585,55.7679,297.92,88,58,2.45,RE,1697679183
118,codrington,-38.2667,141.9667,298.46,30,95,3.83,AU,1697679206
119,kudahuvadhoo,2.6708,72.8944,300.86,74,91,4.23,MV,1697679711
120,haenam,34.5711,126.5989,293.98,67,98,3.59,KR,1697679711
121,gavle,60.6745,17.1417,275.01,97,81,0.45,SE,1697679225
122,as sulayyil,20.4607,45.5779,295.29,27,0,1.82,SA,1697679711
123,puerto gaitan,4.3133,-72.0816,301.13,69,23,0.74,CO,1697679432
124,funafuti,-8.5243,179.1942,305.15,84,40,3.6,TV,1697679712
125,broome,42.2506,-75.833,283.31,85,15,1.27,US,1697679226
126,saipan,15.1355,145.701,304.54,70,40,6.69,MP,1697679186
127,renfrew,55.872,-4.3925,285.66,83,100,10.8,GB,1697679712
128,juneau,58.3019,-134.4197,285.15,95,100,10.8,US,1697679661
129,gorokan,-33.2574,151.5113,295.84,62,17,4.37,AU,1697679712
130,tepatitlan de morelos,20.8167,-102.7333,289.98,50,100,1.69,MX,1697679712
131,verkhnevilyuysk,63.4453,120.3167,267.01,81,39,3.58,RU,1697679713
132,masuguru,-11.3667,38.4167,297.41,79,14,1.96,TZ,1697679713
133,bathsheba,13.2167,-59.5167,301.49,78,20,5.14,BB,1697679713
134,ribeira grande,38.5167,-28.7,292.47,82,31,2.68,PT,1697679163
135,redange-sur-attert,49.7656,5.8908,288.07,92,100,6.66,LU,1697679713
136,bahia honda,22.9036,-83.1592,296.51,78,58,3.91,CU,1697679713
137,bhimunipatnam,17.8833,83.4333,298.88,76,20,2.47,IN,1697679713
138,nago,26.5881,127.9761,301.39,52,0,2.96,JP,1697679602
139,andergrove,-21.0833,149.1833,300.73,60,97,6.85,AU,1697679714
140,gisborne,-38.6533,178.0042,291.44,68,61,2.7,NZ,1697679714
141,peterhead,57.5058,-1.7981,284.37,77,91,15.75,GB,1697679714
142,katsuren-haebaru,26.3369,127.8719,301.36,50,40,3.6,JP,1697679237
143,jindabyne,-36.4167,148.6333,296.83,24,0,0.63,AU,1697679558
144,port alfred,-33.5906,26.891,289.92,97,6,0.45,ZA,1697679220
145,bazarak,35.3129,69.5152,280.71,61,1,3.9,AF,1697679715
146,tazovsky,67.4667,78.7,277.18,96,100,4.7,RU,1697679192
147,newport beach,33.6189,-117.9289,299.8,89,40,4.63,US,1697679467
148,queenstown,-31.8976,26.8753,284.66,86,52,1.21,ZA,1697679192
149,sydney mines,46.2367,-60.2177,282.14,87,75,3.09,CA,1697679715
150,hamilton,39.1834,-84.5333,287.03,78,0,2.57,US,1697679679
151,jonesboro,35.8423,-90.7043,292.02,42,0,2.57,US,1697679716
152,nar'yan-mar,67.6713,53.087,274.32,89,100,4.02,RU,1697679245
153,palmas,-10.2128,-48.3603,299.08,57,0,2.57,BR,1697679716
154,campo sesenta,27.45,-110.1,304.4,51,0,3.29,MX,1697679716
155,kemi,65.8596,24.8228,269.02,93,0,4.63,FI,1697679716
156,uturoa,-16.7333,-151.4333,299.52,78,76,4.33,PF,1697679219
157,kodiak,57.79,-152.4072,282.88,37,0,7.2,US,1697679186
158,dzhalagash,45.0833,64.6667,282.74,44,36,4.23,KZ,1697679717
159,dombarovskiy,50.7587,59.5386,277.04,55,0,4.02,RU,1697679697
160,somerset,40.5668,-74.5496,288.77,80,20,0.45,US,1697679717
161,salaqi,40.5414,110.5108,284.0,24,97,2.43,CN,1697679717
162,la union,-5.4,-80.75,295.13,72,67,7.39,PE,1697679717
163,avarua,-21.2078,-159.775,298.18,61,75,3.09,CK,1697679192
164,nova sintra,14.8667,-24.7167,297.98,71,67,3.13,CV,1697679169
165,tual,-5.6667,132.75,299.89,82,20,6.1,ID,1697679718
166,san patricio,28.017,-97.5169,298.06,65,0,4.03,US,1697679212
167,altamira,-3.2033,-52.2064,299.83,61,73,1.48,BR,1697679448
168,fortuna,40.5982,-124.1573,287.55,96,100,0.0,US,1697679718
169,ocean shores,46.9737,-124.1563,289.24,85,0,2.57,US,1697679718
170,awjilah,29.1081,21.2869,294.68,34,0,2.35,LY,1697679718
171,xilin hot,43.9667,116.0333,275.71,45,3,6.85,CN,1697679718
172,st. john's,47.5649,-52.7093,281.01,89,100,4.12,CA,1697679170
173,constantia,44.1833,28.65,280.76,80,39,4.39,RO,1697679226
174,saldanha,-33.0117,17.9442,288.79,79,35,3.42,ZA,1697679719
175,ayora,39.0585,-1.0563,292.64,68,87,11.79,ES,1697679719
176,tatarsk,55.219,75.9828,282.57,48,77,4.47,RU,1697679719
177,stanley,54.868,-1.6985,283.55,93,100,9.2,GB,1697679167
178,howrah,22.5892,88.3103,298.15,88,20,3.09,IN,1697679228
179,tonosho,34.4833,134.1833,297.27,68,0,0.55,JP,1697679719
180,hithadhoo,-0.6,73.0833,300.09,78,84,3.77,MV,1697679178
181,iskateley,67.6803,53.1512,274.27,89,100,4.02,RU,1697679228
